u,y
0.32031250,6.20000031
0.52031250,45.00000336
1.01805556,119.95715042
1.51579861,207.77144287
2.01354167,289.67145142
2.51128472,359.87145813
3.00902778,437.65719788
3.50677083,508.11432495
4.00451389,576.38575195
4.50225694,639.38573975
5.00000000,698.78573608
